x,y
-4.214055092808583,-1.5785245246032893
-4.2136290688781415,-1.5792102885346324
-4.213202939305489,-1.579895953382109
-4.212776704111777,-1.5805815191306227
-4.212350363318154,-1.5812669857650812
-4.211923916945775,-1.5819523532703963
-4.211497365015796,-1.5826376216314821
-4.21107070754937,-1.583322790833263
-4.210643944567657,-1.5840078608606616
-4.21021707609182,-1.5846928316986064
-4.209790102143019,-1.5853777033320315
-4.20936302274242,-1.5860624757458732
-4.208935837911187,-1.5867471489250737
-4.208508547670493,-1.5874317228545793
-4.208081152041503,-1.5881161975193392
-4.207653651045391,-1.588800572904308
-4.207226044703333,-1.5894848489944453
-4.206798333036502,-1.5901690257747114
-4.2063705160660785,-1.5908531032300774
-4.20594259381324,-1.5915370813455125
-4.2055145662991675,-1.5922209601059931
-4.205086433545046,-1.592904739496498
-4.20465819557206,-1.5935884195020122
-4.204229852401397,-1.5942720001075241
-4.203801404054248,-1.5949554812980264
-4.203372850551801,-1.5956388630585159
-4.202944191915252,-1.596322145373994
-4.2025154281657935,-1.597005328229464
-4.202086559324624,-1.59768841160994
-4.201657585412939,-1.5983713955004333
-4.201228506451942,-1.599054279885962
-4.200799322462835,-1.5997370647515496
-4.200370033466821,-1.600419750082222
-4.199940639485107,-1.6011023358630108
-4.199511140538901,-1.6017848220789508
-4.1990815366494125,-1.6024672087150815
-4.198651827837854,-1.6031494957564472
-4.19822201412544,-1.6038316831880957
-4.1977920955333845,-1.604513770995077
-4.197362072082907,-1.6051957591624522
-4.1969319437952235,-1.6058776476752794
-4.196501710691557,-1.6065594365186242
-4.196071372793132,-1.6072411256775558
-4.195640930121172,-1.6079227151371478
-4.195210382696905,-1.6086042048824782
-4.1947797305415575,-1.6092855948986289
-4.1943489736763615,-1.609966885170686
-4.193918112122551,-1.6106480756837405
-4.193487145901358,-1.6113291664228873
-4.193056075034021,-1.612010157373224
-4.192624899541776,-1.6126910485198567
-4.192193619445865,-1.6133718398478925
-4.191762234767527,-1.6140525313424423
-4.191330745528009,-1.6147331229886226
-4.190899151748554,-1.6154136147715539
-4.190467453450411,-1.6160940066763612
-4.19003565065483,-1.6167742986881732
-4.189603743383062,-1.617454490792123
-4.189171731656358,-1.6181345829733484
-4.188739615495975,-1.618814575216989
-4.188307394923169,-1.6194944675081948
-4.187875069959199,-1.6201742598321143
-4.187442640625326,-1.6208539521739014
-4.187010106942811,-1.6215335445187156
-4.186577468932919,-1.6222130368517194
-4.1861447266169165,-1.6228924291580809
-4.185711880016071,-1.623571721422971
-4.185278929151655,-1.6242509136315664
