birth,death,center_index,dimension
0.626524574012806,0.6405156867329378,0,0
0.35986251833164323,0.7586519487886444,0,0
0.6794506656629418,0.7586519487886444,0,1
0.6263373227256275,0.6405494609851299,1,0
0.3599083390207625,0.7586519487886444,1,0
0.6791059622411113,0.7586519487886444,1,1
0.6261407208329665,0.6405726015601063,2,0
0.3599629082211824,0.7586519487886444,2,0
0.6787606650658599,0.7586519487886444,2,1
0.625934880962423,0.6405870403276651,3,0
0.3600250269752492,0.7586519487886444,3,0
0.6784151142575676,0.7586519487886444,3,1
0.6257201109222025,0.6405919012043064,4,0
0.36009811049406293,0.7586519487886444,4,0
0.6780696507061221,0.7586519487886444,4,1
0.6254966848996654,0.6405860927838851,5,0
0.36018208000266694,0.7586519487886444,5,0
0.677724615736325,0.7586519487886444,5,1
0.6252648594688797,0.6405696297102469,6,0
0.360276845053186,0.7586519487886444,6,0
0.6773803507708145,0.7586519487886444,6,1
0.625024772377974,0.6405453005732205,7,0
0.360382303647344,0.7586519487886444,7,0
0.6770371969908254,0.7586519487886444,7,1
0.6247767379385325,0.6405103407993725,8,0
0.3604983423742553,0.7586519487886444,8,0
0.6766954949951183,0.7586519487886444,8,1
0.6245211151168405,0.6404647831523556,9,0
0.36062483656316996,0.7586519487886444,9,0
0.676355584457421,0.7586519487886444,9,1
0.6242580607496087,0.640410313987987,10,0
0.3607616504508235,0.7586519487886444,10,0
0.6760178037827328,0.7586519487886444,10,1
0.6239878803958858,0.6403462589611152,11,0
0.3609086373630075,0.7586519487886444,11,0
0.675682489762854,0.7586519487886444,11,1
0.6237110017453608,0.6402717476824928,12,0
0.361065639909953,0.7586519487886444,12,0
0.6753499772315129,0.7586519487886444,12,1
0.6234274376565401,0.6401879741081855,13,0
0.3612324901950866,0.7586519487886444,13,0
0.6750206428532936,0.7586519487886444,13,1
0.6231377999926494,0.6400951282821028,14,0
0.36140901003669745,0.7586519487886444,14,0
0.6746948427946945,0.7586519487886444,14,1
0.6228421464865351,0.6399920437800665,15,0
0.3615919507268386,0.7586519487886444,15,0
0.6743728437848857,0.7586519487886444,15,1
0.622541009895846,0.6398798081655925,16,0
0.36178211134579497,0.7586519487886444,16,0
0.6740549692711835,0.7586519487886444,16,1
0.6222344765724075,0.6397587169881175,17,0
0.3619814639012322,0.7586519487886444,17,0
0.6737415390152437,0.7586519487886444,17,1
0.6219231208188409,0.6396276802405053,18,0
0.3621897966456386,0.7586519487886444,18,0
0.6734329785163916,0.7586519487886444,18,1
0.6216069984488468,0.6394878968869169,19,0
0.36240688867505155,0.7586519487886444,19,0
0.6731295445096366,0.7586519487886444,19,1
0.6212866453347212,0.6393393401575141,20,0
0.3626325102119585,0.7586519487886444,20,0
0.6728314981417112,0.7586519487886444,20,1
0.6209623737600248,0.6391812053937981,21,0
0.3628664228976539,0.7586519487886444,21,0
0.6725391643930589,0.7586519487886444,21,1
0.6206343432260061,0.6390149024090304,22,0
0.3631083800934625,0.7586519487886444,22,0
0.6722529858153383,0.7586519487886444,22,1
0.6203030776663451,0.6388398873571954,23,0
0.3633581271902376,0.7586519487886444,23,0
0.6719730920001576,0.7586519487886444,23,1
0.6199688990781214,0.638655734500852,24,0
0.363615401925531,0.7586519487886444,24,0
0.6716997872578223,0.7586519487886444,24,1
0.6196320734470345,0.6384640773883183,25,0
0.3638799347078342,0.7586519487886444,25,0
0.6714335295989874,0.7586519487886444,25,1
0.6192929158026192,0.6382638309467743,26,0
0.3641514489472819,0.7586519487886444,26,0
0.6711743986012962,0.7586519487886444,26,1
0.618951851096263,0.638055039630528,27,0
0.3644296613922178,0.7586519487886444,27,0
0.6709227524307664,0.7586519487886444,27,1
0.6186092130426385,0.637839261351382,28,0
0.3647142824710145,0.7586519487886444,28,0
0.670678904972595,0.7586519487886444,28,1
0.6182653374501873,0.6376152213327704,29,0
0.3650050166385559,0.7586519487886444,29,0
0.6704429623085298,0.7586519487886444,29,1
0.6179205619003874,0.637383420926552,30,0
0.3653015627267831,0.7586519487886444,30,0
0.670215404898707,0.7586519487886444,30,1
0.6284397878175627,0.6284518792266165,31,0
0.6175752254231476,0.637144867509498,31,0
0.36560361429872523,0.7586519487886444,31,0
0.669996255347888,0.7586519487886444,31,1
0.6284193532641061,0.6284597227221767,32,0
0.6172296681686047,0.6368986725219594,32,0
0.36591086000543366,0.7586519487886444,32,0
0.669785883914788,0.7586519487886444,32,1
0.6283832342141413,0.6284613070693273,33,0
0.6168842310756056,0.6366454238450512,33,0
0.3662229839452586,0.7586519487886444,33,0
0.6695844541186997,0.7586519487886444,33,1
0.6283324670415809,0.6284556580721105,34,0
0.6165392555371746,0.636385861869301,34,0
0.36653966602491184,0.7586519487886444,34,0
0.6693921852253367,0.7586519487886444,34,1
0.628267673216054,0.6284422565775044,35,0
0.6161950830632703,0.6361193398803409,35,0
0.3668583986932671,0.7586519487886444,35,0
0.6692093285407634,0.7586519487886444,35,1
0.6281893165442777,0.6284207464922196,36,0
0.6158520549411558,0.6358463587559672,36,0
0.3671809541135105,0.7586519487886444,36,0
0.6690360010255694,0.7586519487886444,36,1
0.628097787841913,0.6283908964017603,37,0
0.6155105118937108,0.635567735751856,37,0
0.3675072814024286,0.7586519487886444,37,0
0.6688724934881569,0.7586519487886444,37,1
0.6279934252920004,0.6283525206801797,38,0
0.6151707937360292,0.6352828912569789,38,0
0.3678370489074417,0.7586519487886444,38,0
0.6687188644765,0.7586519487886444,38,1
0.62787653983017,0.6283054971075714,39,0
0.6148331980542192,0.634992098197802,39,0
0.3681699223838353,0.7586519487886444,39,0
0.6685754011057145,0.7586519487886444,39,1
0.6277474264772477,0.6282497105494487,40,0
0.6144979752797308,0.6346964724463929,40,0
0.3685055653564789,0.7586519487886444,40,0
0.6684421423865031,0.7586519487886444,40,1
0.6276064007584088,0.628185094899035,41,0
0.6141655667671757,0.6343954722319648,41,0
0.36884363948013665,0.7586519487886444,41,0
0.6683193338566281,0.7586519487886444,41,1
0.6274537465711849,0.6281115970866155,42,0
0.6138363054004922,0.6340893305973987,42,0
0.3691838048979348,0.7586519487886444,42,0
0.6682070286483627,0.7586519487886444,42,1
0.6272897703467115,0.6280291819468496,43,0
0.6135104165212086,0.6337785085163977,43,0
0.36952572059756866,0.7586519487886444,43,0
0.6681053983481083,0.7586519487886444,43,1
0.627114768866231,0.6279378520432877,44,0
0.6131881858787538,0.6334636660318133,44,0
0.36986904476485155,0.7586519487886444,44,0
0.6680145384764654,0.7586519487886444,44,1
0.6269290565038189,0.627837588781921,45,0
0.6128700634766677,0.6331445337946293,45,0
0.3702134351342256,0.7586519487886444,45,0
0.6679345199774198,0.7586519487886444,45,1
0.6267329149971332,0.6277284053545465,46,0
0.6125561910551379,0.632821420500157,46,0
0.37055854933587656,0.7586519487886444,46,0
0.6678655034839044,0.7586519487886444,46,1
0.6265266979509073,0.6276103336283742,47,0
0.612246931409702,0.6324946391672487,47,0
0.37090404523911075,0.7586519487886444,47,0
0.667807438435463,0.7586519487886444,47,1
0.6263106973527633,0.6274834114885489,48,0
0.6119426337663274,0.6321648072736084,48,0
0.37124958129167457,0.7586519487886444,48,0
0.6677605676338711,0.7586519487886444,48,1
0.6260852481016883,0.6273476828030896,49,0
0.6116434078430342,0.6318320866104968,49,0
0.37159481685471357,0.7586519487886444,49,0
0.6677247103175522,0.7586519487886444,49,1
0.625850689171286,0.6272031973836026,50,0
0.6113497655588249,0.631496610302195,50,0
0.3719394125330897,0.7586519487886444,50,0
0.6677001840938871,0.7586519487886444,50,1
0.6256073360177992,0.6270500647771471,51,0
0.6110617093554038,0.6311587052945576,51,0
0.37228303050079165,0.7586519487886444,51,0
0.6676867431999646,0.7586519487886444,51,1
0.6253555598343129,0.6268883160068629,52,0
0.6107797675882072,0.63081870142529,52,0
0.3726253348211931,0.7586519487886444,52,0
0.6676846130152333,0.7586519487886444,52,1
0.6250956991772172,0.6267180859572549,53,0
0.6105039774995449,0.6304769311139923,53,0
0.3729659917619313,0.7586519487886444,53,0
0.667693645326867,0.7586519487886444,53,1
0.6248281076107947,0.6265394350626736,54,0
0.6102347417112718,0.6301337290477239,54,0
0.3733046701041968,0.7586519487886444,54,0
0.6677139202534423,0.7586519487886444,54,1
0.6245531220296469,0.6263524905508989,55,0
0.6099722700101305,0.6297894318623346,55,0
0.3736410414462402,0.7586519487886444,55,0
0.6677453837194355,0.7586519487886444,55,1
0.624271124155604,0.6261573900955593,56,0
0.6097167018169942,0.6294443778198163,56,0
0.37397478050092,0.7586519487886444,56,0
0.6677879770390358,0.7586519487886444,56,1
0.6239824727779736,0.6259542388344901,57,0
0.60946844852619,0.6290989064819463,57,0
0.3743055653871338,0.7586519487886444,57,0
0.667841730971964,0.7586519487886444,57,1
0.6236875360273159,0.6257431764334459,58,0
0.6092275654424599,0.6287533583805005,58,0
0.3746330779149845,0.7586519487886444,58,0
0.6679064606008542,0.7586519487886444,58,1
0.6233866736974429,0.6255243487262583,59,0
0.608994316674867,0.6284080746843284,59,0
0.37495700386455516,0.7586519487886444,59,0
0.6679822663574889,0.7586519487886444,59,1
0.6230802437235782,0.6252979076084693,60,0
0.6087690014686558,0.6280633968635917,60,0
0.37527624528575,0.7586519487886444,60,0
0.6680688557374937,0.7586519487886444,60,1
0.6227686595606697,0.6250640442002127,61,0
0.6085517371015027,0.6277196663514821,61,0
0.37558944932727895,0.7586519487886444,61,0
0.6681663778766256,0.7586519487886444,61,1
0.6224522340404699,0.6248229055375574,62,0
0.6083426452691104,0.6273772242037409,62,0
0.37589797541443376,0.7586519487886444,62,0
0.6682744573255602,0.7586519487886444,62,1
0.6221313825849668,0.6245746572897551,63,0
0.6081420453883037,0.6270364107563197,63,0
0.37620153094915465,0.7586519487886444,63,0
0.6683932652349441,0.7586519487886444,63,1
0.6218064698023639,0.6243195219041775,64,0
0.6079501056076144,0.6266975652815271,64,0
0.37649982873962684,0.7586519487886444,64,0
0.6685223737468267,0.7586519487886444,64,1
0.6214778596896573,0.624057672424103,65,0
0.607766948020552,0.6263610256430205,65,0
0.3767925872346034,0.7586519487886444,65,0
0.668661943727672,0.7586519487886444,65,1
0.6211459211117534,0.6237893254471247,66,0
0.607592645836135,0.6260271279500097,66,0
0.3770795307507669,0.7586519487886444,66,0
0.6688115312099592,0.7586519487886444,66,1
0.6208110274325626,0.6235146703658908,67,0
0.607427474255285,0.6256962721812969,67,0
0.3773603896931005,0.7586519487886444,67,0
0.6689712490042676,0.7586519487886444,67,1
0.6204735561387525,0.6232339758659504,68,0
0.6072715713516862,0.6253691920379132,68,0
0.37763490076825024,0.7586519487886444,68,0
0.6691406789364045,0.7586519487886444,68,1
0.6201338481017024,0.6229474228867189,69,0
0.6071250674246453,0.6250457981140682,69,0
0.37790280719086167,0.7586519487886444,69,0
0.6693198426795048,0.7586519487886444,69,1
0.6197922819471098,0.62265525465762,70,0
0.6069880848735738,0.6247264155309629,70,0
0.37816385888289006,0.7586519487886444,70,0
0.6695083951743241,0.7586519487886444,70,1
0.6194492097255968,0.6223577196052017,71,0
0.6068606810172019,0.6244113658756993,71,0
0.37841781266588037,0.7586519487886444,71,0
0.6697062187522381,0.7586519487886444,71,1
0.6191050082082566,0.622055071151625,72,0
0.6067429719018396,0.6241016428929403,72,0
0.37866443244622816,0.7586519487886444,72,0
0.6699130939992299,0.7586519487886444,72,1
0.6187600001471955,0.621747567507879,73,0
0.6066351096798317,0.6237970137486537,73,0
0.37890348939342894,0.7586519487886444,73,0
0.6701287107880352,0.7586519487886444,73,1
0.6184145420113246,0.6214354714618249,74,0
0.606537183546154,0.6234977056377186,74,0
0.37913476211133756,0.7586519487886444,74,0
0.6703530328552417,0.7586519487886444,74,1
0.6180689895282178,0.621119050161164,75,0
0.6064492742834637,0.6232045487763633,75,0
0.37935803680245417,0.7586519487886444,75,0
0.6705855995146859,0.7586519487886444,75,1
0.6177236838442288,0.6207985748914436,76,0
0.6063714541883186,0.6229177678063774,76,0
0.37957310742526434,0.7586519487886444,76,0
0.6708263207867239,0.7586519487886444,76,1
0.617378934199962,0.6204743208492158,77,0
0.6063037870064342,0.6226372480133343,77,0
0.379779775844659,0.7586519487886444,77,0
0.6710748946306047,0.7586519487886444,77,1
0.6170350920840316,0.6201465669104709,78,0
0.6062463278770706,0.6223640087621372,78,0
0.37997785197546563,0.7586519487886444,78,0
0.67133096756374,0.7586519487886444,78,1
0.6166925038264821,0.619815666744835,79,0
0.6061991232866405,0.6220980184468586,79,0
0.38016703881690755,0.7586519487886444,79,0
0.6715944613389294,0.7586519487886444,79,1
0.61635144038374,0.6194818481257941,80,0
0.6061622110316061,0.6218391710912126,80,0
0.38034235857399407,0.7586519487886444,80,0
0.6718649565670681,0.7586519487886444,80,1
0.616012275921377,0.6191454624309681,81,0
0.6061355731378586,0.6215890199551322,81,0
0.38050847757178213,0.7586519487886444,81,0
0.6721421378042793,0.7586519487886444,81,1
0.6156752496925187,0.6188067824240919,82,0
0.606119265431196,0.6213465787317063,82,0
0.38066524401958574,0.7586519487886444,82,0
0.6724258608961171,0.7586519487886444,82,1
0.6153407196067093,0.6184661742396762,83,0
0.6061133123073377,0.6211128013201888,83,0
0.3808125148498471,0.7586519487886444,83,0
0.6727157505754303,0.7586519487886444,83,1
0.6150089725351352,0.6181239070680297,84,0
0.6061177160231738,0.6208879836973124,84,0
0.3809501558173466,0.7586519487886444,84,0
0.6730114539084678,0.7586519487886444,84,1
0.6146802935484099,0.6177803162096761,85,0
0.6061324700957006,0.6206717555109148,85,0
0.3810780415917875,0.7586519487886444,85,0
0.6733126778671629,0.7586519487886444,85,1
0.6143549656455236,0.6174357633046409,86,0
0.6061575593218549,0.6204657105487248,86,0
0.38119605584379057,0.7586519487886444,86,0
0.6736192642026598,0.7586519487886444,86,1
0.6140332694829758,0.617090556098773,87,0
0.6061929598077164,0.6202686093580227,87,0
0.3813040913243315,0.7586519487886444,87,0
0.6739307413427584,0.7586519487886444,87,1
0.6137154831043821,0.6167450282808253,88,0
0.6062386390070323,0.6200819040588135,88,0
0.38140204993765503,0.7586519487886444,88,0
0.6742467953341768,0.7586519487886444,88,1
0.6134018816708554,0.6163995205926769,89,0
0.6062945557689959,0.6199050838894579,89,0
0.3814898428076923,0.7586519487886444,89,0
0.6745671080578757,0.7586519487886444,89,1
0.6130927069739593,0.616054374329313,90,0
0.6063606603952,0.6197385089631525,90,0
0.3815673903380143,0.7586519487886444,90,0
0.674891389213469,0.7586519487886444,90,1
0.6127882111973229,0.6157099432521732,91,0
0.606436894705671,0.6195829233047833,91,0
0.38163462226534367,0.7586519487886444,91,0
0.675219358249231,0.7586519487886444,91,1
0.6124886714538893,0.6153665896921483,92,0
0.6065231921138777,0.619437263582249,92,0
0.38168823445130645,0.7586519487886444,92,0
0.6755505996838215,0.7586519487886444,92,1
0.6121942860547873,0.6150246340556829,93,0
0.60661947771059,0.6193037650230305,93,0
0.38172917570142156,0.7586519487886444,93,0
0.6758847820524825,0.7586519487886444,93,1
0.6119053163485244,0.6146844191528144,94,0
0.6067256021896187,0.619180528260372,94,0
0.38175962877929154,0.7586519487886444,94,0
0.6762215714432445,0.7586519487886444,94,1
0.6116219956511998,0.6143463622958992,95,0
0.6068415171366818,0.6190689924022028,95,0
0.3817795661439769,0.7586519487886444,95,0
0.67656063184172,0.7586519487886444,95,1
0.6113445227647175,0.614010733681541,96,0
0.6069671397561155,0.618968911439881,96,0
0.38178896976812454,0.7586519487886444,96,0
0.6769016254760346,0.7586519487886444,96,1
0.6110731056733981,0.6136779753787819,97,0
0.6071023622391216,0.6188796989410358,97,0
0.38178783114993353,0.7586519487886444,97,0
0.6772442131615117,0.7586519487886444,97,1
0.6108079663325329,0.6133483781951943,98,0
0.6072470690030661,0.6188034169707496,98,0
0.381776151318794,0.7586519487886444,98,0
0.6775880546447356,0.7586519487886444,98,1
0.6105493014857554,0.6130223110595165,99,0
0.607401136825674,0.6187379446208028,99,0
0.3817539408346054,0.7586519487886444,99,0
0.67793280894663,0.7586519487886444,99,1
0.6102973034435665,0.6127001594031481,100,0
0.607564434986862,0.6186847087957634,100,0
0.3817212197807704,0.7586519487886444,100,0
0.6782781347041938,0.7586519487886444,100,1
0.6100521308078637,0.6123822637359679,101,0
0.6077367896830403,0.6186437271340849,101,0
0.381678017750862,0.7586519487886444,101,0
0.6786236905105476,0.7586519487886444,101,1
0.6098139795348072,0.6120689730901067,102,0
0.6079179774360947,0.6186137346735153,102,0
0.38162437382896003,0.7586519487886444,102,0
0.6789691352529555,0.7586519487886444,102,1
0.6095830317460527,0.61176064203733,103,0
0.6081079487750157,0.6185969563335642,103,0
0.38155724829743587,0.7586519487886444,103,0
0.6793141284484978,0.7586519487886444,103,1
0.6093594256916421,0.6114576291247958,104,0
0.6083065439590144,0.6185919226213346,104,0
0.38147774663190975,0.7586519487886444,104,0
0.6796583305770731,0.7586519487886444,104,1
0.6091433178788055,0.6111603021467157,105,0
0.6085135965707591,0.6185979375594319,105,0
