t,curve_x,curve_y,focal_x,focal_y
-3.13883,-0.999996,-0.00497628,2.23997,-2.91526e-08
-3.1388,-0.999996,-0.00503282,2.23997,-3.05345e-08
-3.13877,-0.999996,-0.00508937,2.23997,-2.62866e-08
-3.13873,-0.999996,-0.00514592,2.23997,-3.33904e-08
-3.1387,-0.999996,-0.00520247,2.23997,-2.90992e-08
-3.13867,-0.999996,-0.00525902,2.23997,-3.6411e-08
-3.13864,-0.999996,-0.00531557,2.23997,-3.79691e-08
-3.13861,-0.999996,-0.00537212,2.23997,-3.95595e-08
-3.13858,-0.999995,-0.00542866,2.23997,-3.51654e-08
-3.13855,-0.999995,-0.00548521,2.23997,-3.67784e-08
-3.13851,-0.999995,-0.00554176,2.23997,-3.84248e-08
-3.13848,-0.999995,-0.00559831,2.23997,-3.38994e-08
-3.13845,-0.999995,-0.00565486,2.23996,-4.81265e-08
-3.13842,-0.999995,-0.00571141,2.23997,-3.72758e-08
-3.13839,-0.999995,-0.00576795,2.23997,-3.9016e-08
-3.13836,-0.999995,-0.0058245,2.23996,-4.72676e-08
-3.13833,-0.999995,-0.00588105,2.23997,-3.61022e-08
-3.13829,-0.999995,-0.0059376,2.23996,-4.45077e-08
-3.13826,-0.999994,-0.00599415,2.23996,-5.30745e-08
-3.13823,-0.999994,-0.0060507,2.23996,-4.83682e-08
-3.1382,-0.999994,-0.00610724,2.23996,-5.03632e-08
-3.13817,-0.999994,-0.00616379,2.23996,-4.55626e-08
-3.13814,-0.999994,-0.00622034,2.23996,-4.75693e-08
-3.13811,-0.999994,-0.00627689,2.23996,-4.96341e-08
-3.13807,-0.999994,-0.00633344,2.23996,-5.87783e-08
-3.13804,-0.999994,-0.00638999,2.23996,-5.38979e-08
-3.13801,-0.999994,-0.00644653,2.23996,-5.60978e-08
-3.13798,-0.999993,-0.00650308,2.23995,-6.55666e-08
-3.13795,-0.999993,-0.00655963,2.23996,-6.06351e-08
-3.13792,-0.999993,-0.00661618,2.23995,-6.29734e-08
-3.13789,-0.999993,-0.00667273,2.23995,-6.53518e-08
-3.13785,-0.999993,-0.00672928,2.23996,-6.03099e-08
-3.13782,-0.999993,-0.00678582,2.23995,-6.27268e-08
-3.13779,-0.999993,-0.00684237,2.23995,-8.03778e-08
-3.13776,-0.999993,-0.00689892,2.23995,-7.53535e-08
-3.13773,-0.999993,-0.00695547,2.23995,-6.2534e-08
-3.1377,-0.999992,-0.00701202,2.23995,-6.50752e-08
-3.13767,-0.999992,-0.00706857,2.23995,-7.55154e-08
-3.13763,-0.999992,-0.00712511,2.23995,-7.82249e-08
-3.1376,-0.999992,-0.00718166,2.23995,-7.30143e-08
-3.13757,-0.999992,-0.00723821,2.23995,-7.57468e-08
-3.13754,-0.999992,-0.00729476,2.23994,-8.6653e-08
-3.13751,-0.999992,-0.00735131,2.23994,-8.95571e-08
-3.13748,-0.999992,-0.00740785,2.23994,-8.42915e-08
-3.13745,-0.999991,-0.0074644,2.23994,-8.7242e-08
-3.13741,-0.999991,-0.00752095,2.23994,-9.02583e-08
-3.13738,-0.999991,-0.0075775,2.23994,-8.48976e-08
-3.13735,-0.999991,-0.00763405,2.23994,-8.79425e-08
-3.13732,-0.999991,-0.0076906,2.23994,-9.10536e-08
-3.13729,-0.999991,-0.00774714,2.23994,-8.56005e-08
-3.13726,-0.999991,-0.00780369,2.23993,-1.0607e-07
-3.13723,-0.99999,-0.00786024,2.23993,-1.09405e-07
-3.13719,-0.99999,-0.00791679,2.23993,-1.12788e-07
-3.13716,-0.99999,-0.00797334,2.23993,-1.07376e-07
-3.13713,-0.99999,-0.00802988,2.23993,-1.10813e-07
-3.1371,-0.99999,-0.00808643,2.23993,-1.14298e-07
-3.13707,-0.99999,-0.00814298,2.23993,-1.17852e-07
-3.13704,-0.99999,-0.00819953,2.23993,-1.21456e-07
-3.13701,-0.999989,-0.00825608,2.23993,-1.15952e-07
-3.13697,-0.999989,-0.00831262,2.23993,-1.28833e-07
-3.13694,-0.999989,-0.00836917,2.23993,-1.23325e-07
-3.13691,-0.999989,-0.00842572,2.23993,-1.17742e-07
-3.13688,-0.999989,-0.00848227,2.23993,-1.3094e-07
-3.13685,-0.999989,-0.00853882,2.23993,-1.25353e-07
-3.13682,-0.999989,-0.00859536,2.23992,-1.38779e-07
-3.13679,-0.999988,-0.00865191,2.23992,-1.42808e-07
-3.13675,-0.999988,-0.00870846,2.23992,-1.37211e-07
-3.13672,-0.999988,-0.00876501,2.23992,-1.51023e-07
-3.13669,-0.999988,-0.00882156,2.23992,-1.55209e-07
-3.13666,-0.999988,-0.0088781,2.23992,-1.49623e-07
-3.13663,-0.999988,-0.00893465,2.23992,-1.43966e-07
-3.1366,-0.999988,-0.0089912,2.23992,-1.48229e-07
-3.13657,-0.999987,-0.00904775,2.23991,-1.626e-07
-3.13653,-0.999987,-0.0091043,2.23991,-1.67055e-07
-3.1365,-0.999987,-0.00916084,2.23991,-1.61406e-07
-3.13647,-0.999987,-0.00921739,2.23991,-1.65908e-07
-3.13644,-0.999987,-0.00927394,2.23991,-1.60202e-07
-3.13641,-0.999987,-0.00933049,2.23991,-1.75142e-07
-3.13638,-0.999986,-0.00938704,2.23991,-1.69444e-07
-3.13635,-0.999986,-0.00944358,2.23991,-1.84644e-07
-3.13631,-0.999986,-0.00950013,2.2399,-1.8949e-07
-3.13628,-0.999986,-0.00955668,2.23991,-1.83794e-07
-3.13625,-0.999986,-0.00961323,2.2399,-1.88712e-07
-3.13622,-0.999986,-0.00966978,2.23991,-1.82964e-07
-3.13619,-0.999985,-0.00972632,2.2399,-2.09553e-07
-3.13616,-0.999985,-0.00978287,2.2399,-1.9303e-07
-3.13613,-0.999985,-0.00983942,2.2399,-2.09075e-07
-3.13609,-0.999985,-0.00989597,2.2399,-2.03353e-07
-3.13606,-0.999985,-0.00995251,2.2399,-2.08624e-07
-3.13603,-0.999985,-0.0100091,2.2399,-2.13955e-07
-3.136,-0.999984,-0.0100656,2.23989,-2.19369e-07
-3.13597,-0.999984,-0.0101222,2.2399,-2.13615e-07
-3.13594,-0.999984,-0.0101787,2.23989,-2.19106e-07
-3.13591,-0.999984,-0.0102353,2.23989,-2.36033e-07
-3.13587,-0.999984,-0.0102918,2.23989,-2.1888e-07
