Type,X,Y
symmetry,-2.84389,-0.728137
symmetry,-1.93451,-0.163073
symmetry,-2.03712,-0.226835
symmetry,-2.00988,-0.209907
symmetry,-2.71804,-0.649942
symmetry,-1.25114,0.261555
symmetry,-3.78619,-1.31366
symmetry,-3.37866,-1.06044
symmetry,-2.84365,-0.728638
symmetry,-1.93441,-0.163425
symmetry,-2.03696,-0.227173
symmetry,-2.00978,-0.210279
symmetry,-2.71783,-0.650427
symmetry,-1.25109,0.261348
symmetry,-3.78584,-1.31433
symmetry,-3.37724,-1.06034
symmetry,-2.8434,-0.729138
symmetry,-1.9343,-0.163778
symmetry,-2.03679,-0.227511
symmetry,-2.00968,-0.210651
symmetry,-2.71758,-0.65089
symmetry,-1.2511,0.261096
symmetry,-3.78548,-1.31501
symmetry,-3.37582,-1.06024
symmetry,-2.84316,-0.729638
symmetry,-1.9342,-0.16413
symmetry,-2.03662,-0.227849
symmetry,-2.00952,-0.21099
symmetry,-2.71737,-0.651374
symmetry,-1.25112,0.260845
symmetry,-3.78512,-1.31567
symmetry,-3.37458,-1.06025
symmetry,-2.84292,-0.730138
symmetry,-1.9341,-0.164483
symmetry,-2.03645,-0.228187
symmetry,-2.00942,-0.211362
symmetry,-2.71715,-0.651859
symmetry,-1.25114,0.260593
symmetry,-3.78476,-1.31634
symmetry,-3.37315,-1.06015
symmetry,-2.84268,-0.730638
symmetry,-1.934,-0.164835
symmetry,-2.03628,-0.228525
symmetry,-2.00932,-0.211734
symmetry,-2.71694,-0.652344
symmetry,-1.25109,0.260386
symmetry,-3.78441,-1.31701
symmetry,-3.37173,-1.06005
symmetry,-2.84244,-0.731138
symmetry,-1.93389,-0.165188
symmetry,-2.03611,-0.228862
symmetry,-2.00921,-0.212106
symmetry,-2.71669,-0.652806
symmetry,-1.2511,0.260135
symmetry,-3.78405,-1.31769
symmetry,-3.3703,-1.05995
symmetry,-2.8422,-0.731638
symmetry,-1.93379,-0.16554
symmetry,-2.03595,-0.2292
symmetry,-2.00911,-0.212478
symmetry,-2.71648,-0.65329
symmetry,-1.25112,0.259883
symmetry,-3.78369,-1.31835
symmetry,-3.36887,-1.05985
symmetry,-2.84196,-0.732138
symmetry,-1.93369,-0.165893
symmetry,-2.03578,-0.229537
symmetry,-2.00896,-0.212817
symmetry,-2.71626,-0.653775
symmetry,-1.25114,0.259632
symmetry,-3.78334,-1.31902
symmetry,-3.36745,-1.05974
symmetry,-2.84172,-0.732638
symmetry,-1.93359,-0.166245
symmetry,-2.03561,-0.229875
symmetry,-2.00886,-0.213189
symmetry,-2.71605,-0.654259
symmetry,-1.25116,0.25938
symmetry,-3.78298,-1.3197
symmetry,-3.36621,-1.05976
symmetry,-2.84148,-0.733138
symmetry,-1.93348,-0.166598
symmetry,-2.03575,-0.230404
symmetry,-2.00875,-0.213561
symmetry,-2.71583,-0.654743
symmetry,-1.2511,0.259173
symmetry,-3.78263,-1.32037
symmetry,-3.36478,-1.05965
symmetry,-2.84124,-0.733637
symmetry,-1.93338,-0.16695
symmetry,-2.03558,-0.230741
symmetry,-2.00865,-0.213933
symmetry,-2.71558,-0.655205
symmetry,-1.25112,0.258922
symmetry,-3.78227,-1.32103
symmetry,-3.36335,-1.05955
symmetry,-2.84099,-0.734137
symmetry,-1.93328,-0.167302
symmetry,-2.03541,-0.231079
symmetry,-2.0085,-0.214272
symmetry,-2.71537,-0.65569
symmetry,-1.25114,0.25867
symmetry,-3.78191,-1.32171
symmetry,-3.36192,-1.05944
symmetry,-2.84075,-0.734636
symmetry,-1.93318,-0.167654
symmetry,-2.03524,-0.231416
symmetry,-2.00839,-0.214644
symmetry,-2.71516,-0.656174
symmetry,-1.25116,0.258419
symmetry,-3.78156,-1.32238
symmetry,-3.3605,-1.05933
symmetry,-2.84051,-0.735136
symmetry,-1.93307,-0.168007
symmetry,-2.03507,-0.231754
symmetry,-2.00829,-0.215016
symmetry,-2.71494,-0.656658
symmetry,-1.2511,0.258212
symmetry,-3.7812,-1.32305
symmetry,-3.35907,-1.05922
symmetry,-2.84027,-0.735635
symmetry,-1.93297,-0.168359
symmetry,-2.0349,-0.232091
symmetry,-2.00819,-0.215387
symmetry,-2.71469,-0.657119
symmetry,-1.25112,0.25796
symmetry,-3.78084,-1.32372
symmetry,-3.35782,-1.05923
symmetry,-2.84003,-0.736135
symmetry,-1.93287,-0.168711
symmetry,-2.03473,-0.232428
symmetry,-2.00808,-0.215759
symmetry,-2.71448,-0.657603
symmetry,-1.25114,0.257709
symmetry,-3.78049,-1.32439
symmetry,-3.3564,-1.05912
symmetry,-2.83979,-0.736634
symmetry,-1.93277,-0.169063
symmetry,-2.03457,-0.232765
symmetry,-2.00793,-0.216098
symmetry,-2.71426,-0.658087
symmetry,-1.25115,0.257457
symmetry,-3.78014,-1.32506
symmetry,-3.35497,-1.05901
symmetry,-2.83954,-0.737133
symmetry,-1.93266,-0.169415
symmetry,-2.0344,-0.233103
symmetry,-2.00783,-0.216469
symmetry,-2.71405,-0.658571
symmetry,-1.25117,0.257206
symmetry,-3.77978,-1.32573
symmetry,-3.35354,-1.0589
symmetry,-2.8393,-0.737632
symmetry,-1.93256,-0.169767
symmetry,-2.03423,-0.23344
symmetry,-2.00772,-0.216841
symmetry,-2.71383,-0.659055
symmetry,-1.25112,0.256999
symmetry,-3.77942,-1.3264
symmetry,-3.35211,-1.05879
symmetry,-2.83906,-0.738131
symmetry,-1.93246,-0.170119
symmetry,-2.03437,-0.233969
symmetry,-2.00762,-0.217212
symmetry,-2.71358,-0.659516
symmetry,-1.25113,0.256748
symmetry,-3.77907,-1.32707
symmetry,-3.35068,-1.05868
symmetry,-2.83882,-0.73863
symmetry,-1.93235,-0.170471
symmetry,-2.0342,-0.234306
symmetry,-2.00747,-0.217551
symmetry,-2.71337,-0.66
symmetry,-1.25115,0.256496
symmetry,-3.77871,-1.32774
symmetry,-3.34925,-1.05856
symmetry,-2.83857,-0.739129
symmetry,-1.93225,-0.170823
symmetry,-2.03403,-0.234643
symmetry,-2.00736,-0.217922
symmetry,-2.71315,-0.660483
symmetry,-1.25117,0.256245
symmetry,-3.77836,-1.32841
symmetry,-3.348,-1.05856
symmetry,-2.83833,-0.739628
symmetry,-1.93215,-0.171175
symmetry,-2.03386,-0.23498
symmetry,-2.00726,-0.218294
symmetry,-2.71294,-0.660967
symmetry,-1.25111,0.256038
symmetry,-3.778,-1.32909
symmetry,-3.34657,-1.05845
symmetry,-2.83809,-0.740127
symmetry,-1.93204,-0.171527
symmetry,-2.03369,-0.235317
symmetry,-2.00716,-0.218665
symmetry,-2.71269,-0.661428
symmetry,-1.25113,0.255786
symmetry,-3.77765,-1.32976
symmetry,-3.34514,-1.05833
symmetry,-2.83785,-0.740626
symmetry,-1.93194,-0.171879
symmetry,-2.03352,-0.235654
symmetry,-2.00705,-0.219037
symmetry,-2.71247,-0.661912
symmetry,-1.25115,0.255535
symmetry,-3.77729,-1.33043
symmetry,-3.34371,-1.05822
symmetry,-2.8376,-0.741125
symmetry,-1.93184,-0.172231
symmetry,-2.03335,-0.23599
symmetry,-2.0069,-0.219375
symmetry,-2.71225,-0.662395
symmetry,-1.25116,0.255284
symmetry,-3.77694,-1.3311
symmetry,-3.34228,-1.0581
symmetry,-2.83736,-0.741623
symmetry,-1.93173,-0.172583
symmetry,-2.03318,-0.236327
symmetry,-2.00679,-0.219746
symmetry,-2.71204,-0.662878
symmetry,-1.25118,0.255033
symmetry,-3.77659,-1.33177
symmetry,-3.34085,-1.05798
symmetry,-2.83712,-0.742122
symmetry,-1.93163,-0.172935
symmetry,-2.03301,-0.236664
symmetry,-2.00669,-0.220118
symmetry,-2.71182,-0.663361
symmetry,-1.25113,0.254826
symmetry,-3.77622,-1.33244
symmetry,-3.33942,-1.05787
symmetry,-2.83688,-0.74262
symmetry,-1.93152,-0.173286
symmetry,-2.03284,-0.237
symmetry,-2.00659,-0.220489
symmetry,-2.71157,-0.663822
symmetry,-1.25114,0.254574
symmetry,-3.77587,-1.33311
symmetry,-3.33799,-1.05775
symmetry,-2.83663,-0.743119
symmetry,-1.93142,-0.173638
symmetry,-2.03298,-0.23753
symmetry,-2.00643,-0.220827
symmetry,-2.71136,-0.664305
symmetry,-1.25116,0.254323
symmetry,-3.77552,-1.33378
symmetry,-3.33674,-1.05774
symmetry,-2.83639,-0.743617
symmetry,-1.93132,-0.17399
symmetry,-2.03281,-0.237866
symmetry,-2.00633,-0.221198
symmetry,-2.71114,-0.664788
symmetry,-1.25118,0.254072
symmetry,-3.77517,-1.33446
symmetry,-3.33531,-1.05762
symmetry,-2.83615,-0.744116
symmetry,-1.93121,-0.174341
symmetry,-2.03264,-0.238203
symmetry,-2.00622,-0.221569
symmetry,-2.71092,-0.665271
symmetry,-1.25112,0.253865
symmetry,-3.77481,-1.33513
symmetry,-3.33388,-1.0575
symmetry,-2.8359,-0.744614
symmetry,-1.93111,-0.174693
symmetry,-2.03247,-0.238539
symmetry,-2.00612,-0.221941
symmetry,-2.71067,-0.665732
symmetry,-1.25114,0.253614
symmetry,-3.77446,-1.3358
symmetry,-3.33245,-1.05738
symmetry,-2.83566,-0.745112
symmetry,-1.931,-0.175045
symmetry,-2.0323,-0.238876
symmetry,-2.00601,-0.222312
symmetry,-2.71046,-0.666215
symmetry,-1.25115,0.253362
symmetry,-3.77411,-1.33647
symmetry,-3.33101,-1.05726
symmetry,-2.83542,-0.74561
symmetry,-1.9309,-0.175396
symmetry,-2.03213,-0.239212
symmetry,-2.00586,-0.22265
symmetry,-2.71024,-0.666698
symmetry,-1.25117,0.253111
symmetry,-3.77375,-1.33714
symmetry,-3.32958,-1.05713
symmetry,-2.83517,-0.746108
symmetry,-1.9308,-0.175748
symmetry,-2.03196,-0.239549
symmetry,-2.00575,-0.223021
symmetry,-2.71002,-0.667181
symmetry,-1.25119,0.25286
symmetry,-3.7734,-1.33781
symmetry,-3.32815,-1.05701
symmetry,-2.83493,-0.746606
symmetry,-1.93069,-0.176099
symmetry,-2.03179,-0.239885
symmetry,-2.00565,-0.223392
symmetry,-2.70981,-0.667663
symmetry,-1.25113,0.252653
symmetry,-3.77305,-1.33849
symmetry,-3.32671,-1.05689
symmetry,-2.83469,-0.747104
symmetry,-1.93059,-0.176451
symmetry,-2.03162,-0.240221
symmetry,-2.00555,-0.223763
symmetry,-2.70956,-0.668124
symmetry,-1.25115,0.252402
symmetry,-3.77269,-1.33916
symmetry,-3.32528,-1.05676
symmetry,-2.83444,-0.747602
symmetry,-1.93048,-0.176802
symmetry,-2.03145,-0.240557
symmetry,-2.00539,-0.224101
symmetry,-2.70934,-0.668606
symmetry,-1.25116,0.25215
symmetry,-3.77233,-1.33983
symmetry,-3.32385,-1.05663
symmetry,-2.8342,-0.7481
symmetry,-1.93038,-0.177153
symmetry,-2.03128,-0.240893
symmetry,-2.00528,-0.224471
symmetry,-2.70912,-0.669089
symmetry,-1.25118,0.251899
symmetry,-3.77198,-1.3405
symmetry,-3.32242,-1.05651
symmetry,-2.83396,-0.748598
symmetry,-1.93027,-0.177505
symmetry,-2.03142,-0.241423
symmetry,-2.00518,-0.224842
symmetry,-2.70891,-0.669571
symmetry,-1.25113,0.251692
symmetry,-3.77163,-1.34118
symmetry,-3.32098,-1.05638
symmetry,-2.83371,-0.749095
symmetry,-1.93017,-0.177856
symmetry,-2.03125,-0.241759
symmetry,-2.00508,-0.225213
symmetry,-2.70865,-0.670031
symmetry,-1.25114,0.251441
symmetry,-3.77127,-1.34184
symmetry,-3.31955,-1.05625
symmetry,-2.83347,-0.749593
symmetry,-1.93007,-0.178207
symmetry,-2.03108,-0.242095
symmetry,-2.00497,-0.225584
symmetry,-2.70844,-0.670514
symmetry,-1.25116,0.25119
symmetry,-3.77092,-1.34252
symmetry,-3.31811,-1.05612
symmetry,-2.83322,-0.750091
symmetry,-1.92996,-0.178559
symmetry,-2.03091,-0.242431
symmetry,-2.00481,-0.225921
symmetry,-2.70822,-0.670996
symmetry,-1.25117,0.250939
symmetry,-3.77058,-1.34319
symmetry,-3.31686,-1.05611
symmetry,-2.83298,-0.750588
symmetry,-1.92986,-0.17891
symmetry,-2.03074,-0.242767
symmetry,-2.00471,-0.226292
symmetry,-2.708,-0.671478
symmetry,-1.25119,0.250688
symmetry,-3.77022,-1.34386
symmetry,-3.31543,-1.05598
symmetry,-2.83273,-0.751086
symmetry,-1.92975,-0.179261
symmetry,-2.03057,-0.243103
symmetry,-2.0046,-0.226663
symmetry,-2.70779,-0.67196
symmetry,-1.25113,0.250481
symmetry,-3.76987,-1.34453
symmetry,-3.31399,-1.05585
symmetry,-2.83249,-0.751583
symmetry,-1.92965,-0.179612
symmetry,-2.0304,-0.243439
symmetry,-2.0045,-0.227033
symmetry,-2.70753,-0.67242
symmetry,-1.25115,0.25023
symmetry,-3.76952,-1.34521
symmetry,-3.31256,-1.05572
symmetry,-2.83225,-0.75208
symmetry,-1.92954,-0.179963
symmetry,-2.03022,-0.243774
symmetry,-2.00434,-0.227371
symmetry,-2.70732,-0.672902
symmetry,-1.25117,0.249979
symmetry,-3.76917,-1.34588
symmetry,-3.31112,-1.05558
symmetry,-2.832,-0.752578
symmetry,-1.92944,-0.180315
symmetry,-2.03005,-0.24411
symmetry,-2.00424,-0.227742
symmetry,-2.7071,-0.673384
symmetry,-1.25118,0.249728
symmetry,-3.76881,-1.34655
symmetry,-3.30969,-1.05545
symmetry,-2.83176,-0.753075
symmetry,-1.92933,-0.180666
symmetry,-2.02988,-0.244446
symmetry,-2.00413,-0.228112
symmetry,-2.70688,-0.673866
symmetry,-1.25113,0.249521
symmetry,-3.76846,-1.34723
symmetry,-3.30826,-1.05532
symmetry,-2.83151,-0.753572
symmetry,-1.92923,-0.181017
symmetry,-2.03002,-0.244975
symmetry,-2.00403,-0.228483
symmetry,-2.70663,-0.674326
symmetry,-1.25114,0.24927
symmetry,-3.76811,-1.3479
symmetry,-3.30682,-1.05518
symmetry,-2.83127,-0.754069
symmetry,-1.92912,-0.181368
symmetry,-2.02985,-0.245311
symmetry,-2.00392,-0.228853
symmetry,-2.70641,-0.674807
symmetry,-1.25116,0.249019
symmetry,-3.76775,-1.34857
symmetry,-3.30539,-1.05505
symmetry,-2.83102,-0.754566
symmetry,-1.92902,-0.181719
symmetry,-2.02968,-0.245647
symmetry,-2.00377,-0.22919
symmetry,-2.70619,-0.675289
symmetry,-1.25117,0.248767
symmetry,-3.7674,-1.34924
symmetry,-3.30395,-1.05491
symmetry,-2.83078,-0.755063
symmetry,-1.92891,-0.18207
symmetry,-2.02951,-0.245982
symmetry,-2.00366,-0.229561
symmetry,-2.70598,-0.675771
symmetry,-1.25119,0.248516
symmetry,-3.76705,-1.34992
symmetry,-3.30252,-1.05478
symmetry,-2.83053,-0.75556
symmetry,-1.92881,-0.18242
symmetry,-2.02934,-0.246318
symmetry,-2.00355,-0.229931
symmetry,-2.70576,-0.676253
symmetry,-1.25113,0.24831
symmetry,-3.7667,-1.35059
symmetry,-3.30108,-1.05464
symmetry,-2.83029,-0.756057
symmetry,-1.9287,-0.182771
symmetry,-2.02917,-0.246653
symmetry,-2.00345,-0.230301
symmetry,-2.7055,-0.676712
symmetry,-1.25115,0.248059
symmetry,-3.76635,-1.35126
symmetry,-3.29965,-1.0545
symmetry,-2.83004,-0.756553
symmetry,-1.92859,-0.183122
symmetry,-2.02899,-0.246989
symmetry,-2.00329,-0.230639
symmetry,-2.70529,-0.677193
symmetry,-1.25116,0.247808
symmetry,-3.766,-1.35194
symmetry,-3.29821,-1.05437
symmetry,-3.82151,-1.38725
symmetry,-2.8298,-0.75705
symmetry,-1.92849,-0.183473
symmetry,-2.02882,-0.247324
symmetry,-2.00319,-0.231009
symmetry,-2.70507,-0.677675
symmetry,-1.25118,0.247556
symmetry,-3.76565,-1.35261
symmetry,-3.29677,-1.05423
symmetry,-3.81626,-1.38482
symmetry,-2.82955,-0.757547
symmetry,-1.92838,-0.183824
symmetry,-2.02865,-0.247659
symmetry,-2.00308,-0.231379
symmetry,-2.70485,-0.678156
symmetry,-1.25112,0.24735
symmetry,-3.76529,-1.35328
symmetry,-3.29534,-1.05409
symmetry,-3.80999,-1.38174
symmetry,-2.82931,-0.758043
symmetry,-1.92828,-0.184175
symmetry,-2.02848,-0.247994
symmetry,-2.00298,-0.231749
symmetry,-2.7046,-0.678615
symmetry,-1.25114,0.247099
symmetry,-3.76495,-1.35396
symmetry,-3.2939,-1.05395
symmetry,-3.80377,-1.37868
symmetry,-2.82906,-0.75854
symmetry,-1.92817,-0.184525
symmetry,-2.02862,-0.248524
symmetry,-2.00287,-0.232119
symmetry,-2.70438,-0.679096
symmetry,-1.25115,0.246848
symmetry,-3.7646,-1.35463
symmetry,-3.29247,-1.05381
symmetry,-3.7986,-1.3763
symmetry,-2.82882,-0.759036
symmetry,-1.92807,-0.184876
symmetry,-2.02844,-0.248859
symmetry,-2.00271,-0.232456
symmetry,-2.70416,-0.679578
symmetry,-1.25117,0.246597
symmetry,-3.76424,-1.3553
symmetry,-3.29103,-1.05367
symmetry,-3.79244,-1.37328
symmetry,-2.82857,-0.759533
symmetry,-1.92796,-0.185227
symmetry,-2.02827,-0.249195
symmetry,-2.00261,-0.232827
symmetry,-2.70394,-0.680059
symmetry,-1.25118,0.246346
symmetry,-3.76389,-1.35598
symmetry,-3.2896,-1.05352
symmetry,-3.78632,-1.37028
symmetry,-2.82832,-0.760029
symmetry,-1.92786,-0.185577
symmetry,-2.0281,-0.24953
symmetry,-2.0025,-0.233197
symmetry,-2.70372,-0.68054
symmetry,-1.25113,0.246139
symmetry,-3.76355,-1.35665
symmetry,-3.28816,-1.05338
symmetry,-3.78124,-1.36794
symmetry,-2.82808,-0.760525
symmetry,-1.92775,-0.185928
symmetry,-2.02793,-0.249865
symmetry,-2.00239,-0.233567
symmetry,-2.70347,-0.680998
symmetry,-1.25114,0.245888
symmetry,-3.76319,-1.35732
symmetry,-3.28654,-1.05312
symmetry,-3.77519,-1.36498
symmetry,-2.82783,-0.761021
symmetry,-1.92764,-0.186278
symmetry,-2.02776,-0.2502
symmetry,-2.00224,-0.233903
symmetry,-2.70325,-0.681479
symmetry,-1.25116,0.245637
symmetry,-3.76284,-1.358
symmetry,-3.28511,-1.05298
symmetry,-3.76917,-1.36204
symmetry,-2.82759,-0.761517
symmetry,-1.92754,-0.186629
symmetry,-2.02759,-0.250535
symmetry,-2.00213,-0.234273
symmetry,-2.70303,-0.68196
symmetry,-1.25117,0.245386
symmetry,-3.76249,-1.35867
symmetry,-3.28367,-1.05283
symmetry,-3.76417,-1.35974
symmetry,-2.82734,-0.762013
symmetry,-1.92743,-0.186979
symmetry,-2.02742,-0.250869
symmetry,-2.00202,-0.234643
symmetry,-2.70281,-0.682441
symmetry,-1.25112,0.24518
symmetry,-3.76214,-1.35934
symmetry,-3.28224,-1.05269
symmetry,-3.75822,-1.35684
symmetry,-2.82709,-0.762509
symmetry,-1.92732,-0.18733
symmetry,-2.02725,-0.251204
symmetry,-2.00192,-0.235013
symmetry,-2.70256,-0.6829
symmetry,-1.25113,0.244929
symmetry,-3.76179,-1.36002
symmetry,-3.2808,-1.05254
symmetry,-3.75231,-1.35395
symmetry,-2.82685,-0.763005
symmetry,-1.92722,-0.18768
symmetry,-2.02707,-0.251539
symmetry,-2.00181,-0.235383
symmetry,-2.70234,-0.68338
symmetry,-1.25115,0.244678
symmetry,-3.76144,-1.36069
symmetry,-3.27937,-1.0524
symmetry,-3.74738,-1.3517
symmetry,-2.8266,-0.763501
symmetry,-1.92711,-0.188031
symmetry,-2.02721,-0.252069
symmetry,-2.00165,-0.23572
symmetry,-2.70212,-0.683861
symmetry,-1.25116,0.244427
symmetry,-3.7611,-1.36137
symmetry,-3.27793,-1.05225
symmetry,-3.74153,-1.34885
symmetry,-2.82635,-0.763997
symmetry,-1.92701,-0.188381
symmetry,-2.02704,-0.252404
symmetry,-2.00155,-0.236089
symmetry,-2.7019,-0.684342
symmetry,-1.25117,0.244176
symmetry,-3.76074,-1.36204
symmetry,-3.27649,-1.0521
symmetry,-3.73572,-1.34602
symmetry,-2.82611,-0.764493
symmetry,-1.9269,-0.188731
symmetry,-2.02686,-0.252738
symmetry,-2.00144,-0.236459
symmetry,-2.70168,-0.684822
symmetry,-1.25112,0.24397
symmetry,-3.76039,-1.36271
symmetry,-3.27506,-1.05195
symmetry,-3.72994,-1.34321
symmetry,-2.82586,-0.764988
