x,y
-25.27356280471762,-4.732132481466152
-25.27305172300091,-4.7330589991051
-25.272538150099074,-4.733985492597284
-25.272022088503515,-4.734911961691514
-25.271503540712974,-4.735838406137317
-25.27098250923349,-4.736764825684938
-25.270458996578455,-4.737691220085348
-25.26993300526844,-4.738617589090227
-25.269404537831367,-4.739543932451975
-25.26887359680233,-4.7404702499237095
-25.268340184723655,-4.741396541259261
-25.26780430414486,-4.742322806213179
-25.267265957622637,-4.743249044540717
-25.266725147720837,-4.744175255997851
-25.26618187701044,-4.745101440341264
-25.265636148069508,-4.746027597328347
-25.26508796348324,-4.746953726717204
-25.264537325843875,-4.747879828266651
-25.263984237750712,-4.748805901736206
-25.263428701810078,-4.749731946886098
-25.262870720635284,-4.750657963477259
-25.262310296846664,-4.751583951271328
-25.26174743307152,-4.7525099100306525
-25.261182131944093,-4.7534358395182785
-25.260614396105506,-4.754361739497952
-25.260044228203867,-4.755287609734129
-25.259471630894126,-4.756213449991962
-25.258896606838068,-4.7571392600373015
-25.258319158704406,-4.758065039636703
-25.257739289168597,-4.758990788557414
-25.257157000912947,-4.759916506567383
-25.256572296626537,-4.760842193435256
-25.255985179005187,-4.761767848930369
-25.2553956507515,-4.762693472822761
-25.254803714574756,-4.763619064883157
-25.25420937319098,-4.764544624882979
-25.25361262932286,-4.765470152594341
-25.25301348569972,-4.766395647790048
-25.252411945057567,-4.767321110243595
-25.251808010139005,-4.768246539729165
-25.251201683693232,-4.769171936021633
-25.250592968476035,-4.770097298896557
-25.24998186724976,-4.7710226281301855
-25.249368382783274,-4.771947923499452
-25.24875251785199,-4.772873184781973
-25.2481342752378,-4.773798411756054
-25.247513657729055,-4.774723604200677
-25.2468906681206,-4.7756487618955115
-25.24626530921369,-4.776573884620907
-25.245637583816006,-4.777498972157893
-25.245007494741607,-4.778424024288177
-25.24437504481095,-4.779349040794152
-25.24374023685083,-4.780274021458878
-25.243103073694364,-4.7811989660661025
-25.242463558181008,-4.7821238744002414
-25.241821693156506,-4.783048746246396
-25.24117748147284,-4.783973581390327
-25.24053092598829,-4.784898379618482
-25.23988202956732,-4.785823140717971
-25.23923079508065,-4.786747864476585
-25.238577225405173,-4.787672550682783
-25.237921323423926,-4.788597199125686
-25.237263092026126,-4.7895218095950955
-25.236602534107107,-4.790446381881477
-25.23593965256832,-4.791370915775959
-25.235274450317263,-4.79229541107034
-25.234606930267567,-4.793219867557084
-25.233937095338856,-4.79414428502932
-25.2332649484568,-4.79506866328084
-25.232590492553076,-4.7959930021060995
-25.23191373056534,-4.796917301300213
-25.23123466543722,-4.797841560658963
-25.2305533001183,-4.798765779978784
-25.229869637564015,-4.799689959056772
-25.229183680735815,-4.800614097690687
-25.228495432600944,-4.801538195678938
-25.22780489613256,-4.8024622528206
-25.227112074309638,-4.803386268915396
-25.22641697011698,-4.804310243763706
-25.22571958654517,-4.805234177166566
-25.225019926590605,-4.806158068925663
-25.22431799325542,-4.807081918843334
-25.223613789547514,-4.808005726722579
-25.222907318480473,-4.808929492367031
-25.22219858307359,-4.809853215580984
-25.221487586351838,-4.810776896169377
-25.22077433134588,-4.811700533937801
-25.220058821091943,-4.812624128692487
-25.219341058631937,-4.813547680240316
-25.21862104701335,-4.814471188388816
-25.217898789289222,-4.8153946529461535
-25.217174288518184,-4.816318073721147
-25.216447547764368,-4.817241450523248
-25.21571857009745,-4.818164783162556
-25.21498735859258,-4.819088071449807
-25.214253916330364,-4.8200113151963775
-25.213518246396912,-4.820934514214289
-25.21278035188373,-4.821857668316193
-25.21204023588775,-4.822780777315386
-25.211297901511266,-4.82370384102579
-25.21055335186197,-4.824626859261971
-25.209806590052914,-4.82554983183913
-25.20905761920244,-4.82647275857309
-25.208306442434257,-4.827395639280327
-25.207553062877302,-4.82831847377793
-25.20679748366581,-4.829241261883629
-25.206039707939283,-4.830164003415778
-25.205279738842414,-4.831086698193371
-25.204517579525128,-4.832009346036013
-25.203753233142503,-4.832931946763952
-25.202986702854837,-4.833854500198058
