x,y
-8.424606938631257,-1.5771954455662804
-8.424435519014942,-1.5775047019549666
-8.424263267439393,-1.5778139525249915
-8.424090184740953,-1.5781231971889558
-8.423916271758422,-1.578432435859688
-8.423741529333043,-1.578741668450241
-8.423565958308526,-1.5790508948738982
-8.423389559531003,-1.5793601150441663
-8.423212333849055,-1.5796693288747807
-8.423034282113672,-1.5799785362797003
-8.42285540517828,-1.5802877371731119
-8.4226757038987,-1.5805969314694255
-8.422495179133167,-1.5809061190832778
-8.422313831742319,-1.5812152999295304
-8.42213166258918,-1.581524473923269
-8.421948672539155,-1.5818336409798035
-8.421764862460037,-1.5821428010146692
-8.421580233221974,-1.5824519539436228
-8.4213947856975,-1.5827610996826487
-8.421208520761484,-1.5830702381479493
-8.421021439291156,-1.583379369255955
-8.420833542166092,-1.5836884929233155
-8.4206448302682,-1.5839976090669063
-8.420455304481713,-1.5843067176038226
-8.42026496569319,-1.5846158184513817
-8.420073814791516,-1.5849249115271251
-8.41988185266787,-1.5852339967488143
-8.419689080215738,-1.5855430740344314
-8.419495498330907,-1.585852143302182
-8.419301107911437,-1.5861612044704887
-8.419105909857691,-1.5864702574579992
-8.418909905072287,-1.5867793021835774
-8.418713094460124,-1.5870883385663104
-8.418515478928349,-1.5873973665255028
-8.418317059386373,-1.5877063859806804
-8.41811783674585,-1.5880153968515867
-8.41791781192067,-1.5883243990581846
-8.417716985826969,-1.5886333925206584
-8.417515359383092,-1.5889423771594062
-8.417312933509614,-1.5892513528950485
-8.41710970912932,-1.5895603196484211
-8.416905687167201,-1.5898692773405791
-8.416700868550441,-1.5901782258927937
-8.416495254208433,-1.590487165226556
-8.416288845072728,-1.59079609526357
-8.416081642077076,-1.5911050159257603
-8.415873646157392,-1.5914139271352656
-8.415664858251759,-1.5917228288144423
-8.415455279300403,-1.5920317208858608
-8.415244910245713,-1.592340603272309
-8.415033752032222,-1.592649475896789
-8.414821805606595,-1.5929583386825197
-8.414609071917626,-1.5932671915529324
-8.41439555191623,-1.5935760344316756
-8.414181246555454,-1.5938848672426111
-8.413966156790432,-1.5941936899098146
-8.413750283578413,-1.5945025023575758
-8.413533627878735,-1.5948113045103984
-8.41331619065283,-1.5951200962930001
-8.413097972864206,-1.5954288776303085
-8.412878975478453,-1.5957376484474697
-8.41265919946322,-1.5960464086698374
-8.412438645788225,-1.5963551582229794
-8.41221731542523,-1.5966638970326765
-8.411995209348056,-1.5969726250249199
-8.411772328532559,-1.5972813421259136
-8.411548673956617,-1.5975900482620713
-8.411324246600161,-1.5978987433600207
-8.41109904744511,-1.5982074273465965
-8.410873077475413,-1.5985161001488466
-8.410646337677031,-1.5988247616940292
-8.410418829037908,-1.5991334119096112
-8.410190552547991,-1.5994420507232707
-8.409961509199206,-1.5997506780628936
-8.409731699985459,-1.6000592938565767
-8.409501125902628,-1.6003678980326257
-8.40926978794856,-1.6006764905195545
-8.409037687123043,-1.6009850712460845
-8.40880482442784,-1.6012936401411486
-8.408571200866636,-1.6016021971338843
-8.408336817445065,-1.6019107421536383
-8.408101675170682,-1.6022192751299646
-8.407865775052985,-1.6025277959926258
-8.407629118103356,-1.6028363046715883
-8.407391705335115,-1.6031448010970284
-8.407153537763467,-1.6034532851993273
-8.406914616405523,-1.6037617569090727
-8.406674942280276,-1.6040702161570581
-8.406434516408604,-1.6043786628742833
-8.406193339813257,-1.6046870969919529
-8.405951413518858,-1.6049955184414773
-8.405708738551885,-1.6053039271544716
-8.405465315940676,-1.605612323062755
-8.405221146715407,-1.6059207060983511
-8.404976231908108,-1.6062290761934896
-8.404730572552632,-1.606537433280602
-8.404484169684663,-1.6068457772923241
-8.404237024341695,-1.6071541081614948
-8.403989137563055,-1.6074624258211572
-8.403740510389856,-1.6077707302045559
-8.403491143865018,-1.6080790212451388
-8.403241039033261,-1.608387298876557
-8.402990196941072,-1.6086955630326616
-8.402738618636736,-1.6090038136475087
-8.40248630517029,-1.6093120506553524
-8.40223325759356,-1.6096202739906513
-8.401979476960104,-1.6099284835880632
-8.401724964325245,-1.6102366793824476
-8.40146972074605,-1.610544861308863
-8.401213747281318,-1.6108530293025713
-8.400957044991575,-1.6111611832990311
-8.40069961493909,-1.6114693232339035
-8.400441458187823,-1.611777449043048
-8.40018257580346,-1.612085560662523
-8.399922968853376,-1.6123936580285865
-8.399662638406657,-1.6127017410776954
-8.399401585534067,-1.6130098097465044
-8.399139811308059,-1.6133178639718673
-8.398877316802755,-1.6136259036908362
-8.39861410309395,-1.6139339288406602
-8.398350171259095,-1.6142419393587857
-8.3980855223773,-1.6145499351828574
-8.397820157529324,-1.614857916250716
-8.397554077797553,-1.6151658825003992
-8.397287284266033,-1.6154738338701422
-8.397019778020407,-1.6157817702983743
-8.396751560147958,-1.616089691723723
-8.396482631737575,-1.6163975980850103
-8.396212993879757,-1.6167054893212547
-8.39594264766659,-1.617013365371667
-8.395671594191771,-1.6173212261756575
-8.395399834550568,-1.6176290716728274
-8.395127369839836,-1.6179369018029746
-8.394854201157996,-1.6182447165060896
-8.394580329605038,-1.6185525157223577
-8.394305756282504,-1.6188602993921586
-8.394030482293498,-1.6191680674560636
-8.393754508742658,-1.619475819854839
-8.39347783673616,-1.619783556529442
-8.393200467381716,-1.6200912774210245
-8.392922401788555,-1.6203989824709293
-8.39264364106743,-1.6207066716206926
-8.392364186330598,-1.6210143448120415
-8.392084038691822,-1.6213220019868952
-8.391803199266356,-1.6216296430873636
-8.391521669170945,-1.6219372680557482
-8.391239449523823,-1.6222448768345412
-8.390956541444696,-1.6225524693664275
-8.390672946054728,-1.6228600455942788
-8.390388664476557,-1.6231676054611583
-8.390103697834268,-1.6234751489103196
-8.389818047253403,-1.6237826758852059
-8.389531713860933,-1.6240901863294495
-8.389244698785275,-1.6243976801868711
-8.388957003156257,-1.6247051574014808
-8.388668628105147,-1.6250126179174775
-8.388379574764608,-1.625320061679248
-8.388089844268725,-1.6256274886313675
-8.387799437752967,-1.625934898718598
-8.38750835635421,-1.6262422918858903
-8.387216601210705,-1.626549668078382
-8.38692417346209,-1.6268570272413974
-8.386631074249365,-1.6271643693204483
-8.386337304714909,-1.6274716942612317
-8.386042866002441,-1.6277790020096328
-8.385747759257052,-1.628086292511721
-8.385451985625158,-1.6283935657137518
-8.38515554625453,-1.6287008215621674
-8.384858442294252,-1.6290080600035943
-8.384560674894749,-1.6293152809848435
-8.384262245207742,-1.6296224844529108
-8.383963154386288,-1.6299296703549782
-8.383663403584723,-1.6302368386384096
-8.383362993958697,-1.6305439892507543
-8.383061926665134,-1.6308511221397441
-8.382760202862254,-1.631158237253296
-8.382457823709544,-1.6314653345395083
-8.382154790367764,-1.6317724139466638
-8.38185110399893,-1.632079475423227
-8.381546765766323,-1.6323865189178453
-8.381241776834461,-1.6326935443793473
-8.380936138369105,-1.633000551756745
-8.38062985153726,-1.633307540999231
