x,y
-4.319580196941525,-1.4086291085446685
-4.3194797924656605,-1.4087907597492912
-4.319379387989797,-1.4089524109539142
-4.319278983513933,-1.409114062158537
-4.319178579038069,-1.40927571336316
-4.319078174562205,-1.4094373645677827
-4.318977770086342,-1.4095990157724057
-4.3188773656104775,-1.4097606669770284
-4.318776961134613,-1.4099223181816514
-4.318676556658749,-1.4100839693862741
-4.318576152182886,-1.410245620590897
-4.318475747707022,-1.4104072717955198
-4.318375343231158,-1.4105689230001428
-4.318274938755295,-1.4107305742047656
-4.31817453427943,-1.4108922254093885
-4.318074129803566,-1.4110538766140113
-4.317973725327702,-1.4112155278186342
-4.317873320851839,-1.411377179023257
-4.317772916375975,-1.41153883022788
-4.317672511900111,-1.4117004814325027
-4.317572107424247,-1.4118621326371257
-4.317471702948383,-1.4120237838417484
-4.317371298472519,-1.4121854350463714
-4.317270893996655,-1.4123470862509941
-4.317170489520792,-1.4125087374556171
-4.317070085044928,-1.4126703886602399
-4.316969680569064,-1.4128320398648628
-4.3168692760931995,-1.4129936910694856
-4.316768871617336,-1.4131553422741086
-4.316668467141472,-1.4133169934787313
-4.316568062665608,-1.413478644683354
-4.316467658189744,-1.413640295887977
-4.316367253713881,-1.4138019470925998
-4.3162668492380165,-1.4139635982972227
-4.316166444762152,-1.4141252495018455
-4.316066040286288,-1.4142869007064685
-4.315965635810425,-1.4144485519110912
-4.315865231334561,-1.4146102031157142
-4.315764826858697,-1.414771854320337
-4.3156644223828335,-1.41493350552496
-4.315564017906969,-1.4150951567295826
-4.315463613431105,-1.4152568079342056
-4.315363208955241,-1.4154184591388284
-4.315262804479378,-1.4155801103434513
-4.315162400003514,-1.415741761548074
-4.31506199552765,-1.415903412752697
-4.314961591051786,-1.4160650639573198
-4.314861186575922,-1.4162267151619428
-4.314760782100058,-1.4163883663665655
-4.314660377624194,-1.4165500175711885
-4.314559973148331,-1.4167116687758112
-4.314459568672467,-1.4168733199804342
-4.314359164196603,-1.417034971185057
-4.3142587597207385,-1.41719662238968
-4.314158355244875,-1.4173582735943027
-4.314057950769011,-1.4175199247989256
-4.313957546293147,-1.4176815760035484
-4.313857141817283,-1.4178432272081714
-4.31375673734142,-1.418004878412794
-4.3136563328655555,-1.4181665296174168
-4.313555928389691,-1.4183281808220398
-4.313455523913828,-1.4184898320266626
-4.313355119437964,-1.4186514832312855
-4.3132547149621,-1.4188131344359083
-4.313154310486236,-1.4189747856405313
-4.3130539060103725,-1.419136436845154
-4.312953501534508,-1.419298088049777
-4.312853097058644,-1.4194597392543997
-4.31275269258278,-1.4196213904590227
-4.312652288106917,-1.4197830416636454
-4.312551883631053,-1.4199446928682684
-4.312451479155189,-1.4201063440728912
-4.312351074679325,-1.4202679952775141
-4.312250670203461,-1.4204296464821369
-4.312150265727597,-1.4205912976867598
-4.312049861251733,-1.4207529488913826
-4.31194945677587,-1.4209146000960056
-4.311849052300006,-1.4210762513006283
-4.311748647824142,-1.4212379025052513
-4.3116482433482775,-1.421399553709874
-4.311547838872414,-1.421561204914497
-4.31144743439655,-1.4217228561191197
-4.311347029920686,-1.4218845073237427
-4.311246625444823,-1.4220461585283655
-4.311146220968959,-1.4222078097329884
-4.3110458164930945,-1.4223694609376112
-4.31094541201723,-1.422531112142234
-4.310845007541367,-1.422692763346857
-4.310744603065503,-1.4228544145514797
-4.310644198589639,-1.4230160657561026
-4.310543794113775,-1.4231777169607254
-4.3104433896379115,-1.4233393681653483
-4.310342985162047,-1.423501019369971
-4.310242580686183,-1.423662670574594
-4.310142176210319,-1.4238243217792168
-4.310041771734456,-1.4239859729838398
-4.309941367258592,-1.4241476241884625
-4.309840962782728,-1.4243092753930855
-4.309740558306864,-1.4244709265977082
-4.309640153831,-1.4246325778023312
-4.309539749355136,-1.424794229006954
-4.309439344879272,-1.424955880211577
-4.309338940403409,-1.4251175314161997
-4.309238535927545,-1.4252791826208226
-4.309138131451681,-1.4254408338254454
-4.309037726975816,-1.4256024850300684
