x,y
-4.214055092808583,-1.5785245246032893
-4.213606049329364,-1.5792473350723066
-4.213156888485912,-1.5799700354610482
-4.212707610302993,-1.5806926257518403
-4.212258214805376,-1.5814151059270092
-4.211808702017833,-1.5821374759688873
-4.211359071965135,-1.5828597358598109
-4.210909324672056,-1.5835818855821269
-4.210459460163376,-1.5843039251181825
-4.210009478463872,-1.5850258544503308
-4.209559379598331,-1.5857476735609297
-4.209109163591533,-1.5864693824323473
-4.208658830468265,-1.5871909810469502
-4.2082083802533194,-1.587912469387115
-4.207757812971487,-1.5886338474352188
-4.207307128647559,-1.5893551151736507
-4.206856327306336,-1.5900762725847997
-4.206405408972612,-1.5907973196510614
-4.205954373671193,-1.5915182563548351
-4.205503221426879,-1.5922390826785315
-4.2050519522644745,-1.5929597986045592
-4.204600566208793,-1.5936804041153343
-4.204149063284639,-1.5944008991932817
-4.203697443516828,-1.5951212838208275
-4.203245706930175,-1.5958415579804037
-4.2027938535494975,-1.5965617216544474
-4.2023418833996145,-1.597281774825404
-4.201889796505348,-1.5980017174757213
-4.201437592891523,-1.598721549587852
-4.200985272582966,-1.5994412711442534
-4.200532835604506,-1.6001608821273936
-4.200080281980975,-1.60088038251974
-4.199627611737205,-1.6015997723037667
-4.199174824898036,-1.6023190514619532
-4.198721921488302,-1.6030382199767863
-4.1982689015328445,-1.603757277830756
-4.197815765056509,-1.6044762250063556
-4.197362512084138,-1.6051950614860901
-4.19690914264058,-1.6059137872524634
-4.196455656750686,-1.606632402287987
-4.196002054439309,-1.607350906575176
-4.1955483357313,-1.6080693000965558
-4.19509450065152,-1.6087875828346518
-4.194640549224827,-1.6095057547719966
-4.194186481476081,-1.6102238158911253
-4.193732297430149,-1.6109417661745862
-4.193277997111893,-1.6116596056049237
-4.192823580546184,-1.612377334164693
-4.192369047757894,-1.6130949518364495
-4.191914398771894,-1.6138124586027622
-4.19145963361306,-1.6145298544461977
-4.191004752306271,-1.615247139349331
-4.190549754876407,-1.6159643132947397
-4.190094641348348,-1.6166813762650127
-4.18963941174698,-1.6173983282427384
-4.189184066097193,-1.6181151692105105
-4.188728604423871,-1.6188318991509336
-4.188273026751908,-1.6195485180466116
-4.1878173331061985,-1.620265025880156
-4.18736152351164,-1.6209814226341823
-4.186905597993128,-1.6216977082913149
-4.186449556575564,-1.6224138828341796
-4.185993399283853,-1.6231299462454092
-4.185537126142899,-1.6238458985076387
-4.185080737177609,-1.6245617396035152
-4.184624232412895,-1.6252774695156849
-4.184167611873667,-1.6259930882268014
-4.183710875584842,-1.6267085957195213
-4.183254023571335,-1.6274239919765123
-4.182797055858065,-1.628139276980442
-4.182339972469955,-1.6288544507139848
-4.181882773431928,-1.6295695131598185
-4.181425458768909,-1.6302844643006316
-4.180968028505828,-1.630999304119113
-4.180510482667615,-1.631714032597956
-4.180052821279203,-1.6324286497198655
